,model,max_tokens,temperature,top_k,top_p,repeat_penalty,num_tries,max_tries,date,extra
0,qwen2.5-7b-instruct-q6_k,200,0.7,50,0.9,1.2,1,2,2025-05-02 12:45:40.533492,-
1,qwen2.5-7b-instruct-q6_k,200,0.9,50,0.9,1.3,1,2,2025-05-02 12:51:07.920936,-
2,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 12:55:02.843507,-
3,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 12:56:22.372404,-
4,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 12:57:30.694100,-
5,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 12:58:48.647320,-
6,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 13:00:03.224127,-
7,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 13:01:11.110254,-
8,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 13:02:23.925551,-
9,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 13:03:35.336022,-
10,qwen2.5-7b-instruct-q6_k,50,0.9,100,0.9,1.3,1,2,2025-05-02 13:04:54.108058,-
11,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:06:11.821689,-
12,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:07:25.445555,-
13,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:08:38.350600,-
14,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:09:44.938509,-
15,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:10:57.149715,-
16,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:12:11.306878,-
17,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:13:33.175167,-
18,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:15:01.858113,-
19,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:16:03.583623,-
20,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:17:17.123445,-
21,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:18:38.953600,-
22,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:19:54.725704,-
23,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:21:02.225359,-
